quarter,observed_industries,sales_amount,sales_transactions,weekday_sales,weekend_sales,weekday_transactions,weekend_transactions,sales_00_06,sales_06_11,sales_11_14,sales_14_17,sales_17_21,sales_21_24,transactions_00_06,transactions_06_11,transactions_11_14,transactions_14_17,transactions_17_21,transactions_21_24,male_sales,female_sales,age20_sales,age30_sales,age40_sales,age50_sales,age60plus_sales,operating_stores,openings,closings,year,quarter_no,sales_per_store,transactions_per_store,sales_per_transaction,net_entry_count,net_entry_rate,weekend_sales_share,weekend_transaction_share,evening_sales_share,night_sales_share,female_sales_share,sales_amount_yoy,sales_transactions_yoy,operating_stores_yoy,sales_per_store_yoy,transactions_per_store_yoy,sales_per_transaction_yoy,weekend_sales_share_yoy,evening_sales_share_yoy,sales_amount_4q_ma
20233,4,1850495427,63764,1121382449,729112978,37812,25952,449529,32558203,600174186,389298621,761367525,66647363,11,2300,21789,18539,19945,1180,633288133,946383323,508376416,503748727,232880186,247117678,80094144,22,0,0,2023,3,84113428.5,2898.3636363636365,29021.006006524058,0,0.0,0.3940096081091261,0.40700081550718276,0.4474557872009267,0.03601595660684656,0.5114215950991378,-0.11544830100298442,-0.07564292134179929,0.04761904761904767,-0.1556551964119397,-0.1176591521898992,-0.043062773662064346,0.1094389113385934,-0.056090124373918804,1922657528.0
20234,4,1772222605,54071,1083162838,689059767,32554,21517,0,21925178,555897397,362634440,715697580,116068010,0,1690,18816,15397,17021,1147,623229412,859442318,470122131,481355742,239516435,196150610,87057980,21,0,1,2023,4,84391552.61904761,2574.809523809524,32775.84296573024,-1,-0.047619047619047616,0.38881106981478775,0.3979397458896636,0.469334714303568,0.06549290685748814,0.4849516734383376,-0.025718238203418564,-0.018995609419790283,0.0,-0.025718238203418675,-0.01899560941979017,-0.006852801932570651,-0.004119977760210891,0.004897963054742993,1910962132.25
20241,4,1726827600,53213,1026474246,700353354,31853,21360,268330,19620829,538853350,351366146,723652162,93066783,6,1489,18088,15173,17293,1164,570213652,877658689,413710682,525409826,198927260,212309805,94707516,21,1,1,2024,1,82229885.71428572,2533.9523809523807,32451.23560032323,0,0.0,0.4055722493664104,0.40140567154642665,0.47295916801422444,0.053894658042296754,0.5082491668537149,-0.1159863879396571,-0.1406724371810607,-0.045454545454545414,-0.07389050165106936,-0.09975207704682543,0.028727170300954175,0.13766368834070053,0.10781282563942529,1854320330.25
20242,4,1772821641,57931,1089363613,683458028,35500,22431,0,27613730,601961154,364591419,674846830,103808508,0,2013,20171,16467,18087,1193,603615449,903673817,406564172,551024357,221346173,225370816,98968282,22,1,0,2024,2,80582801.86363636,2633.2272727272725,30602.296542438417,1,0.045454545454545456,0.38551990352198096,0.3872020161916763,0.43921809165234577,0.058555528429495296,0.5097375822252838,-0.14262656952186503,-0.1419155113165067,0.0,-0.14262656952186503,-0.1419155113165067,-0.0008286575677988184,0.0295416295397275,0.021194752910251635,1780591818.25
20243,4,1481039291,47433,907968644,573070647,28975,18458,0,26202959,510604085,258825617,599370999,86035631,0,1338,16793,12386,16015,901,447495676,758382622,362264989,423931839,162865537,171585099,77697411,23,1,0,2024,3,64393012.652173914,2062.304347826087,31223.81656230894,1,0.043478260869565216,0.3869381794814247,0.3891383635865326,0.46278760743559505,0.05809138996029512,0.5120611091201631,-0.19965255282957262,-0.25611630387052253,0.045454545454545414,-0.23445026792393897,-0.28845907326745635,0.07590400399247632,-0.01794735072994169,0.03426443611463159,1688227784.25
20244,4,1571515575,45886,990879762,580635813,28562,17324,0,12027684,543264744,316922576,581711489,117589082,0,946,16243,13085,14536,1076,533168714,786958969,369908070,448552025,204300274,190890710,96919795,23,1,1,2024,4,68326764.13043478,1995.0434782608695,34248.25818332389,0,0.0,0.3694750610409954,0.37754434903892253,0.4449848172837867,0.0748252730489165,0.5007643459085667,-0.11325159121305761,-0.1513750439237299,0.09523809523809534,-0.1903601484988786,-0.22516851836514473,0.04492379400075763,-0.04973111692268206,-0.05188173019742082,1638051026.75
20251,4,1362399336,41692,787490441,574908895,24569,17123,0,24727225,420883053,288789878,570280015,57719165,0,1375,14174,12196,13061,886,496666320,652784860,290551882,439118437,173367704,153338811,91169246,23,0,0,2025,1,59234753.73913044,1812.695652173913,32677.7160126643,0,0.0,0.42198265942196556,0.4107022930058524,0.46095088525498223,0.04236581997277192,0.4791435541333822,-0.21103917032597808,-0.2165072444703362,0.09523809523809534,-0.2796444598628496,-0.2846370492990026,0.006979099813962497,0.04046235924965691,-0.02538968175553169,1546943960.75
20252,4,1386123749,41041,896145317,489978432,27123,13918,0,29826565,478703203,274242965,517479951,85871065,0,2452,15044,10554,11901,1090,467268976,725878810,290958186,412867619,195568204,191586871,97630798,22,0,1,2025,2,63005624.95454545,1865.5,33774.12219487829,-1,-0.045454545454545456,0.3534882310136366,0.33912429034380254,0.43527932945040393,0.06195050410322347,0.5236753287891325,-0.2181256608430583,-0.2915537449724672,0.0,-0.2181256608430583,-0.2915537449724672,0.10364665436272968,-0.08308694885974433,-0.008967668401645645,1450269487.75
20253,4,1141365271,31908,710107778,431257493,20388,11520,0,12193748,380595077,200672049,490045256,57859141,0,926,10982,7690,11446,864,400622747,571163917,244218132,293937778,193518987,150176896,85886065,22,0,0,2025,3,51880239.59090909,1450.3636363636363,35770.50492039614,0,0.0,0.3778435387491302,0.3610379842045882,0.48004298967319814,0.0506929223011202,0.5004216717576997,-0.22934841908930825,-0.3273037758522548,-0.04347826086956519,-0.1943188017751859,-0.29672667475463,0.14561603476673057,-0.023504118266342133,0.03728574827925679,1365350982.75
20254,4,945501204,29064,605130950,340370254,18743,10321,0,24140050,338651755,185560836,355840884,41307679,0,868,10263,7943,9342,648,319460040,495414537,194200611,244971659,154448584,129431651,87856367,22,0,0,2025,4,42977327.45454545,1321.090909090909,32531.695706028077,0,0.0,0.35998923381593073,0.35511285439031104,0.4200402509482156,0.04368865827483388,0.5239702867686671,-0.3983507264953451,-0.36660419300004354,-0.04347826086956519,-0.37100303224513353,-0.3378134745000456,-0.05012116143563872,-0.025673795677408906,-0.05605711783119738,1208847390.0
20261,4,869089461,26555,514172041,354917420,15996,10559,0,9198558,305030654,178377665,336410662,40071922,0,843,9329,7154,8591,638,295140962,446792387,169767612,238647236,133649416,118139912,80409750,22,0,0,2026,1,39504066.40909091,1207.0454545454545,32727.902880813406,0,0.0,0.4083784649644946,0.39762756543023914,0.43319197953086214,0.04610793686750276,0.5140925152698406,-0.3620890453810379,-0.3630672551088938,-0.04347826086956519,-0.333093092898358,-0.3341157667047526,0.0015358132168619143,-0.03223875236036022,-0.060220961955122054,1085519921.25
