area_code,quarter,quarter_label,outcome_residual,food_sales_yoy_log_change_lag1_residual,floating_population_yoy_log_change_residual
3110157,20243,2024Q3,-0.6028334907963397,-0.13186509432167978,-0.09399721564253806
3110157,20244,2024Q4,-0.8210231535247406,-0.16608069230232947,-0.0780735163109735
3110157,20251,2025Q1,-0.0789960853355747,-0.022680261284479707,-0.08797540950796255
3110157,20252,2025Q2,-0.9595610469197563,0.13103699241626168,-0.04961467100302685
3110157,20253,2025Q3,-0.25725108519301726,0.1812224738772419,-0.05880931520871711
3110157,20254,2025Q4,-0.09504289763451473,0.32872189695757426,-0.05372338421584119
3110158,20222,2022Q2,-0.0808889378539965,0.30487539760046123,0.1739924372007344
3110158,20223,2022Q3,-0.047574814835106935,0.23028508382212406,-0.006592518420679553
3110158,20224,2022Q4,0.8373356722439516,0.11061359917003012,0.020723412592431358
3110158,20231,2023Q1,-0.7013693358808128,0.07103740639288078,0.054498950412941005
3110158,20232,2023Q2,0.8417216019382069,-0.21522823138090993,0.06570945217359322
3110158,20233,2023Q3,1.1130092513823373,-0.21724716924676019,0.04225773243729009
3110158,20234,2023Q4,-0.4237394578682586,-0.165178859542559,-0.03633514334015693
3110158,20241,2024Q1,1.5315954221002295,-0.07987048909525106,-0.05347996687355768
3110158,20242,2024Q2,1.0091790776862215,0.04475244413048564,0.05725857856992664
3110158,20243,2024Q3,-0.1306709273660767,0.04359166300604457,0.08506220104434932
3110158,20244,2024Q4,0.8453946345887082,0.11150551665892523,0.07344979105777276
3110158,20251,2025Q1,-0.7460862376735561,-0.03694358298463122,0.04901920155937991
3110158,20252,2025Q2,-1.6542905404943467,0.012689517895911275,-0.09924583202889259
3110158,20253,2025Q3,-0.8581691697074852,-0.08232833120069918,-0.18140897053457475
3110158,20254,2025Q4,-1.5354462382599894,-0.13255396522599738,-0.2449093258505531
3110159,20222,2022Q2,0.150739051537664,0.07460996557489401,-0.06552286628867766
3110159,20223,2022Q3,-0.03724115428974956,0.15053275210720848,0.018209039519303305
3110159,20224,2022Q4,0.1680361128289431,0.08691449927267482,0.06281822597563057
3110159,20231,2023Q1,0.017501537877699248,-0.008443315213084328,0.09613301873400522
3110159,20232,2023Q2,0.06349122301361307,-0.044731357558530166,0.0864204922366185
3110159,20233,2023Q3,0.05529908668814825,-0.054439078212375105,0.03518279514423645
3110159,20234,2023Q4,0.09568990302799674,-0.014658427854274451,-0.010121845208920587
3110159,20241,2024Q1,0.1352480365840805,0.011344192879015957,-0.02251892797115442
3110159,20242,2024Q2,-0.05461729346381417,-0.0322019070036022,0.007481228428310965
3110159,20243,2024Q3,-0.049431836167957856,-0.04756842457076848,-0.008849136566060201
3110159,20244,2024Q4,-0.1611402264688986,-0.04377771969073654,0.012476017897442931
3110159,20251,2025Q1,-0.18748036726828798,-0.017167595320308107,-0.017334560271500706
3110159,20252,2025Q2,0.06632106526899652,-0.010965270772754915,-0.03879527795175665
3110159,20253,2025Q3,-0.28516763744691337,0.02789944216956904,-0.03739608556979751
3110159,20254,2025Q4,0.022752498278506443,-0.07734775580687298,-0.11818211810767608
3110160,20233,2023Q3,0.3030175479234824,0.7776622303799968,0.046406353377815276
3110160,20234,2023Q4,-2.5998311470528397,0.7278180652655251,-0.058695215141682085
3110160,20241,2024Q1,-0.3674560073315464,0.8070670911748858,-0.03330605202433051
3110160,20242,2024Q2,-0.8891503437067216,0.7503292070770909,-0.0651202088303737
3110160,20243,2024Q3,-0.16085692675003205,0.8490998705471182,0.013281150130524768
3110160,20244,2024Q4,0.9029217307394503,-0.484649847403809,0.04086391745498398
3110160,20251,2025Q1,1.2300325176838844,-0.5144453212759296,0.0364810391279836
3110160,20252,2025Q2,1.581322628494901,-2.9128812957636745,0.0200890159051683
