area_code,food_overall_rank,food_CoreDeclineScore,area_name,all_industry_rank,all_industry_CoreDeclineScore
3110048,,,장충동주민센터,1070,-1.6661071807557954
3110049,19.0,1.6827198353062538,장충단 고개,80,1.2190389971071878
3110052,500.0,-0.1547937791395799,장충초등학교,656,-0.12930089682836493
3110053,749.0,-0.7299213112860912,청구역 1번,1010,-0.9490026192532782
3110054,6.0,2.148152908861974,청구역 3번,71,1.3243162271577849
3110056,789.0,-0.9104855937800233,신당역 3번,880,-0.5377486700608838
3110057,,,황학코아루아파트,842,-0.46451997467960754
3110058,104.0,0.7997450888171664,성심여자고등학교,1064,-1.5510637700870307
3110060,,,효창공원앞역 6번,1069,-1.6328817589819071
3110061,,,효창동주민센터,946,-0.692201971879983
3110062,847.0,-2.5787025896798905,한강로동땡땡거리(은행나무길),1083,-2.8403235191193485
3110063,524.0,-0.1938044257667189,효창공원앞역 5번,498,0.10194193121768404
3110064,327.0,0.183692716030048,효창공원앞역 2번,996,-0.8848032188926458
3110066,696.0,-0.5685161262596808,서울역 15번,785,-0.3477537571915661
3110067,578.0,-0.2964510881355851,배문고등학교,975,-0.826347267109957
3110068,819.0,-1.0822245172303329,남영역 1번,479,0.13136765881645163
3110069,210.0,0.4167105959655144,숙대입구,533,0.05697445255647936
3110072,2.0,2.4399949793279885,열정도,10,2.7441497503922014
3110074,570.0,-0.292353850878497,서울역 12번,787,-0.35049836697665626
3110075,804.0,-0.9943597792430592,숙대입구역 1번,959,-0.7429212544538498
3110078,,,이촌동점보아파트,648,-0.11634864926768544
3110079,611.0,-0.3613026309289576,후암동주민센터,841,-0.46226122778660544
3110080,698.0,-0.5737477437134957,해방촌예술마을,511,0.0805380142946357
3110081,715.0,-0.6297167910212318,해방촌 남동측,891,-0.5595542486033325
3110082,740.0,-0.7000739966991214,용산구청,928,-0.6431346750409945
3110084,714.0,-0.6267705560334894,경리단길북측,934,-0.6565103275418498
3110085,618.0,-0.3721685242318645,,,
3110087,,,이태원엔틱가구거리,193,0.6655380239192041
3110090,542.0,-0.2254516785032355,,,
3110091,5.0,2.2306251614359773,리움미술관,37,1.7506276578172744
3110093,80.0,0.992034298234152,우사단길,44,1.6618901052111696
3110095,471.0,-0.0882592795747051,한강진역 3번,1049,-1.2840624323424077
3110096,,,한남힐사이드아파트,202,0.641929227003398
3110098,134.0,0.6474108870156084,서울독일학교,123,0.9208986773792627
3110102,225.0,0.3862293356235752,옥수역 6번,516,0.07542220851050571
3110104,,,신금호역 4번,683,-0.16782772671449603
3110105,,,금동어린이공원,651,-0.1197333625640796
3110109,,,금호삼성래미안아파트,548,0.0315250427344555
3110110,,,상왕십리역 6번,976,-0.8308759162809907
3110112,417.0,0.0109159358682737,행당역 2번,997,-0.8917501240194742
3110115,103.0,0.7998489286211257,상왕십리역 3번,240,0.554955957603354
3110117,,,성동구보건소,843,-0.467167103676723
3110118,,,왕십리역 9번,686,-0.1732799942488176
3110122,285.0,0.2562731277544229,마장역 2번,294,0.4237974607572415
3110123,,,마장역 3번,68,1.3554627274715363
3110125,79.0,1.0016025827731618,사근동살곶이상점가,67,1.371324393021957
3110128,386.0,0.057175442789118,성원중학교,478,0.13559408909950033
3110129,,,성원어린이공원,293,0.42393740818031145
3110131,537.0,-0.2182897683330867,성수동카페거리,1067,-1.6002235761264192
3110134,459.0,-0.0720105103920032,성수119안전센터,273,0.46814273145966606
3110136,780.0,-0.8724765352316277,경수초등학교,970,-0.7983873579719264
3110137,448.0,-0.0522389958956781,성수초등학교,406,0.2426298925391574
3110138,298.0,0.2367973175960771,송정체육공원,557,0.015475970397809444
3110139,346.0,0.1445677299666405,자양4동주민센터,313,0.38848555339325486
3110140,558.0,-0.2640691804815233,건대입구역 6번,400,0.25789654825209135
3110141,149.0,0.5966602941741361,건대입구역 1번,460,0.17094305479182487
3110142,236.0,0.3609544050405756,화양사거리,235,0.5771589377870886
3110144,,,어린이대공원역 4번,135,0.8567693527534126
3110146,305.0,0.2246430750640193,신자초등학교,3,3.404347481074009
3110147,528.0,-0.2005541231579584,능동우편취급국,923,-0.6321803084380855
3110148,413.0,0.0192589295791281,어린이대공원역 3번,504,0.09142990870751508
3110150,816.0,-1.0621677987535647,중곡1동 마을마당,472,0.14606333537202132
3110151,348.0,0.1440471223988469,자양한강도서관,585,-0.02365532562921102
3110152,,,중곡어린이공원,497,0.10220925256067762
3110154,549.0,-0.2356380219660866,광진정말공원,609,-0.06819070940715252
3110155,116.0,0.711854403394378,광진구청,308,0.3976798487622884
3110157,552.0,-0.2453401091506782,자양동우체국,815,-0.4071424528233706
3110158,125.0,0.6800901669995273,중곡3동주민센터,82,1.2001245086311378
3110159,384.0,0.060151444617956,구의역 4번,159,0.7630117289557237
3110161,176.0,0.5306487210560769,중곡역 3번,183,0.689416815497654
3110162,308.0,0.2206529904456715,군자역 4번,376,0.2860242477203573
3110163,436.0,-0.0328712856422468,성자초등학교,439,0.20855174835640122
3110165,226.0,0.3859875842631148,국립정신건강센터,441,0.20292439444177043
3110166,651.0,-0.4596156006097551,구의1동주민센터,887,-0.5479303291840909
3110167,325.0,0.1924006948697936,용마초등학교,386,0.2724627886113812
3110168,,,대원고등학교,6,3.0487370490490524
3110169,,,성동초등학교,346,0.34034578527646175
3110170,93.0,0.8738992847839935,동대부여고,462,0.16409301005386132
