area_code,period,confirmed_exit_industry_count,confirmed_exit_store_weight
3110221,recent,0,0.0
3110222,long,0,0.0
3110222,medium,0,0.0
3110222,recent,0,0.0
3110223,long,0,0.0
3110223,medium,0,0.0
3110223,recent,0,0.0
3110224,long,0,0.0
3110224,medium,0,0.0
3110224,recent,0,0.0
3110225,long,0,0.0
3110225,medium,0,0.0
3110225,recent,0,0.0
3110226,long,0,0.0
3110226,medium,0,0.0
3110226,recent,0,0.0
3110227,long,0,0.0
3110227,medium,0,0.0
3110227,recent,0,0.0
3110228,long,0,0.0
3110228,medium,0,0.0
3110228,recent,0,0.0
3110229,long,0,0.0
3110229,medium,0,0.0
3110229,recent,0,0.0
3110230,long,0,0.0
3110230,medium,0,0.0
3110230,recent,0,0.0
3110231,long,0,0.0
3110231,medium,0,0.0
3110231,recent,0,0.0
3110232,long,0,0.0
3110232,medium,0,0.0
3110232,recent,0,0.0
3110233,long,0,0.0
3110233,medium,0,0.0
3110233,recent,0,0.0
3110234,long,0,0.0
3110234,medium,0,0.0
3110234,recent,0,0.0
3110235,long,0,0.0
3110235,medium,0,0.0
3110235,recent,0,0.0
3110236,long,1,0.014545454545454545
3110236,medium,0,0.0
3110236,recent,1,0.026936026936026935
3110237,long,0,0.0
3110237,medium,0,0.0
3110237,recent,0,0.0
3110238,long,0,0.0
3110238,medium,0,0.0
3110238,recent,0,0.0
3110239,long,0,0.0
3110239,medium,0,0.0
3110239,recent,0,0.0
3110240,long,0,0.0
3110240,medium,0,0.0
3110240,recent,0,0.0
3110241,long,0,0.0
3110241,medium,0,0.0
3110241,recent,0,0.0
3110242,long,0,0.0
3110242,medium,0,0.0
3110242,recent,0,0.0
3110243,long,0,0.0
3110243,medium,0,0.0
3110243,recent,0,0.0
3110244,long,0,0.0
3110244,medium,0,0.0
3110244,recent,0,0.0
3110245,long,0,0.0
3110245,medium,0,0.0
3110245,recent,0,0.0
3110246,long,0,0.0
3110246,medium,0,0.0
3110246,recent,0,0.0
3110247,long,0,0.0
3110247,medium,0,0.0
3110247,recent,0,0.0
3110248,long,0,0.0
3110248,medium,0,0.0
3110248,recent,0,0.0
3110249,long,0,0.0
3110249,medium,0,0.0
3110249,recent,0,0.0
3110250,long,0,0.0
3110250,medium,0,0.0
3110250,recent,0,0.0
3110251,long,0,0.0
3110251,medium,0,0.0
3110251,recent,0,0.0
3110252,long,0,0.0
3110252,medium,0,0.0
3110252,recent,0,0.0
3110253,long,0,0.0
3110253,medium,0,0.0
3110253,recent,0,0.0
3110254,long,0,0.0
3110254,medium,0,0.0
3110254,recent,0,0.0
3110255,long,0,0.0
3110255,medium,0,0.0
3110255,recent,0,0.0
3110256,long,0,0.0
3110256,medium,0,0.0
3110256,recent,0,0.0
3110257,long,0,0.0
3110257,medium,0,0.0
3110257,recent,0,0.0
3110258,long,0,0.0
3110258,medium,0,0.0
3110258,recent,0,0.0
3110259,long,0,0.0
3110259,medium,0,0.0
3110259,recent,0,0.0
3110260,long,0,0.0
3110260,medium,0,0.0
3110260,recent,0,0.0
3110261,long,0,0.0
3110261,medium,0,0.0
3110261,recent,0,0.0
3110262,long,0,0.0
3110262,medium,0,0.0
3110262,recent,0,0.0
3110263,long,0,0.0
3110263,medium,0,0.0
3110263,recent,0,0.0
3110264,long,0,0.0
3110264,medium,0,0.0
3110264,recent,0,0.0
3110265,long,0,0.0
3110265,medium,0,0.0
3110265,recent,0,0.0
3110266,long,0,0.0
3110266,medium,0,0.0
3110266,recent,0,0.0
3110267,long,0,0.0
3110267,medium,0,0.0
3110267,recent,0,0.0
3110268,long,0,0.0
3110268,medium,0,0.0
3110268,recent,0,0.0
3110269,long,0,0.0
3110269,medium,0,0.0
3110269,recent,0,0.0
3110270,long,0,0.0
3110270,medium,0,0.0
3110270,recent,0,0.0
3110271,long,0,0.0
3110271,medium,0,0.0
3110271,recent,0,0.0
3110272,long,0,0.0
3110272,medium,0,0.0
3110272,recent,0,0.0
3110273,long,0,0.0
3110273,medium,0,0.0
3110273,recent,0,0.0
3110274,long,0,0.0
3110274,medium,0,0.0
3110274,recent,0,0.0
3110275,long,0,0.0
3110275,medium,0,0.0
3110275,recent,0,0.0
3110276,long,0,0.0
3110276,medium,0,0.0
3110276,recent,0,0.0
3110277,long,0,0.0
3110277,medium,0,0.0
3110277,recent,0,0.0
3110278,long,0,0.0
3110278,medium,0,0.0
3110278,recent,0,0.0
3110279,long,0,0.0
3110279,medium,0,0.0
3110279,recent,0,0.0
3110280,long,0,0.0
3110280,medium,0,0.0
3110280,recent,0,0.0
3110281,long,0,0.0
3110281,medium,0,0.0
3110281,recent,0,0.0
3110282,long,0,0.0
3110282,medium,0,0.0
3110282,recent,0,0.0
3110283,long,0,0.0
3110283,medium,0,0.0
3110283,recent,0,0.0
3110284,long,0,0.0
3110284,medium,0,0.0
3110284,recent,0,0.0
3110285,long,0,0.0
3110285,medium,0,0.0
3110285,recent,0,0.0
3110286,long,0,0.0
3110286,medium,0,0.0
3110286,recent,0,0.0
3110287,long,0,0.0
3110287,medium,0,0.0
3110287,recent,0,0.0
3110288,long,0,0.0
3110288,medium,0,0.0
3110288,recent,1,0.03361344537815126
3110289,long,0,0.0
3110289,medium,0,0.0
3110289,recent,0,0.0
3110290,long,0,0.0
3110290,medium,0,0.0
3110290,recent,0,0.0
3110291,long,0,0.0
3110291,medium,0,0.0
3110291,recent,0,0.0
3110292,long,0,0.0
3110292,medium,0,0.0
3110292,recent,0,0.0
3110293,long,1,0.02857142857142857
3110293,medium,0,0.0
3110293,recent,0,0.0
3110294,long,0,0.0
3110294,medium,0,0.0
3110294,recent,0,0.0
3110295,long,0,0.0
3110295,medium,0,0.0
3110295,recent,0,0.0
3110296,long,0,0.0
3110296,medium,0,0.0
3110296,recent,0,0.0
3110297,long,1,0.06334841628959276
3110297,medium,1,0.06766917293233082
3110297,recent,1,0.0547945205479452
3110298,long,0,0.0
3110298,medium,0,0.0
3110298,recent,0,0.0
3110299,long,0,0.0
3110299,medium,0,0.0
3110299,recent,0,0.0
3110300,long,0,0.0
3110300,medium,0,0.0
3110300,recent,0,0.0
3110301,long,0,0.0
3110301,medium,0,0.0
3110301,recent,0,0.0
3110302,long,0,0.0
3110302,medium,0,0.0
3110302,recent,0,0.0
3110303,long,0,0.0
3110303,medium,0,0.0
3110303,recent,0,0.0
3110304,long,0,0.0
3110304,medium,0,0.0
3110304,recent,0,0.0
3110305,long,0,0.0
3110305,medium,0,0.0
3110305,recent,0,0.0
3110306,long,0,0.0
3110306,medium,0,0.0
3110306,recent,0,0.0
3110307,long,0,0.0
3110307,medium,0,0.0
3110307,recent,0,0.0
3110308,long,0,0.0
3110308,medium,0,0.0
3110308,recent,0,0.0
3110309,long,0,0.0
3110309,medium,0,0.0
3110309,recent,0,0.0
3110310,long,0,0.0
3110310,medium,0,0.0
3110310,recent,0,0.0
3110312,long,0,0.0
3110312,medium,0,0.0
3110312,recent,0,0.0
3110313,long,0,0.0
3110313,medium,0,0.0
3110313,recent,0,0.0
3110314,long,0,0.0
3110314,medium,0,0.0
3110314,recent,0,0.0
3110315,long,0,0.0
3110315,medium,0,0.0
3110315,recent,0,0.0
3110316,long,0,0.0
3110316,medium,0,0.0
3110316,recent,0,0.0
3110317,long,0,0.0
3110317,medium,0,0.0
3110317,recent,0,0.0
3110318,long,0,0.0
3110318,medium,0,0.0
3110318,recent,0,0.0
3110319,long,0,0.0
3110319,medium,0,0.0
3110319,recent,0,0.0
3110320,long,0,0.0
3110320,medium,0,0.0
3110320,recent,0,0.0
3110321,long,0,0.0
3110321,medium,0,0.0
3110321,recent,0,0.0
3110322,long,0,0.0
3110322,medium,0,0.0
3110322,recent,0,0.0
3110323,long,0,0.0
3110323,medium,0,0.0
3110323,recent,0,0.0
3110324,long,0,0.0
3110324,medium,0,0.0
3110324,recent,1,0.5
3110325,long,0,0.0
3110325,medium,0,0.0
3110325,recent,0,0.0
3110326,long,0,0.0
3110326,medium,0,0.0
3110326,recent,0,0.0
3110327,long,0,0.0
3110327,medium,0,0.0
3110327,recent,0,0.0
3110328,long,0,0.0
3110328,medium,0,0.0
3110328,recent,0,0.0
3110329,long,0,0.0
3110329,medium,0,0.0
3110329,recent,0,0.0
3110330,long,0,0.0
3110330,medium,0,0.0
3110330,recent,0,0.0
3110331,long,0,0.0
3110331,medium,0,0.0
3110331,recent,0,0.0
3110332,long,0,0.0
3110332,medium,0,0.0
3110332,recent,0,0.0
3110333,long,0,0.0
3110333,medium,0,0.0
3110333,recent,0,0.0
3110334,long,0,0.0
3110334,medium,0,0.0
3110334,recent,0,0.0
3110335,long,0,0.0
3110335,medium,0,0.0
3110335,recent,0,0.0
3110336,long,0,0.0
3110336,medium,0,0.0
3110336,recent,0,0.0
3110337,long,0,0.0
3110337,medium,1,0.028169014084507043
3110337,recent,1,0.05673758865248227
3110338,long,0,0.0
3110338,medium,0,0.0
3110338,recent,0,0.0
3110339,long,0,0.0
3110339,medium,0,0.0
3110339,recent,0,0.0
3110340,long,0,0.0
3110340,medium,0,0.0
3110340,recent,0,0.0
3110341,long,0,0.0
3110341,medium,0,0.0
3110341,recent,0,0.0
3110342,long,0,0.0
3110342,medium,0,0.0
3110342,recent,0,0.0
3110343,long,1,0.14516129032258066
3110343,medium,1,0.0958904109589041
3110343,recent,1,0.05405405405405406
3110344,long,0,0.0
3110344,medium,0,0.0
3110344,recent,0,0.0
3110345,long,0,0.0
3110345,medium,0,0.0
3110345,recent,0,0.0
3110346,long,0,0.0
3110346,medium,0,0.0
3110346,recent,0,0.0
3110347,long,0,0.0
3110347,medium,0,0.0
3110347,recent,0,0.0
3110348,long,0,0.0
3110348,medium,0,0.0
3110348,recent,0,0.0
3110349,long,0,0.0
3110349,medium,0,0.0
3110349,recent,0,0.0
3110350,long,0,0.0
3110350,medium,0,0.0
3110350,recent,0,0.0
3110351,long,0,0.0
3110351,medium,0,0.0
3110351,recent,0,0.0
3110352,long,0,0.0
3110352,medium,0,0.0
3110352,recent,0,0.0
3110353,long,0,0.0
3110353,medium,0,0.0
3110353,recent,0,0.0
3110354,long,0,0.0
3110354,medium,0,0.0
3110354,recent,0,0.0
3110355,long,0,0.0
3110355,medium,0,0.0
3110355,recent,0,0.0
3110356,long,0,0.0
3110356,medium,0,0.0
3110356,recent,0,0.0
3110357,long,0,0.0
3110357,medium,0,0.0
3110357,recent,0,0.0
3110358,long,0,0.0
3110358,medium,0,0.0
3110358,recent,0,0.0
